,0
YPEL4,0.0002142572
RAB9B,0.00021415962
DSCAS,0.0002133751
CDK18,0.00021333726
PTPN12,0.00021321345
TRIM63,0.0002120016
UPB1,0.00021182517
ITGA6,0.00021178334
P2RY2,0.00021159564
ACRC,0.00021135483
GLUL,0.00021109889
RP11-477N3.1,0.00021093585
NDRG4,0.00020980039
GPR157,0.00020930282
SGK1,0.00020859491
RP11-426L16.3,0.00020855585
TNFSF14,0.00020736347
RP11-356J5.13,0.00020644667
COTL1,0.00020586923
EVI2A,0.00020578418
COMT,0.0002048448
SLCO2B1,0.00020476586
AC137932.4,0.00020308931
LRRC36,0.00020307946
KLHL41,0.00020224291
VNN2,0.00020219774
CYP26A1,0.00020210228
CTC-367J11.1,0.00020148639
SYT1,0.0002014586
ASGR2,0.00020121213
PFN2,0.00020116025
B3GNT8,0.00020091722
C20orf197,0.0002008503
GPAT3,0.00020015443
CARD16,0.00019925347
NHLH1,0.00019894955
ACVR1C,0.00019858353
NR4A2,0.00019846408
SLCO1A2,0.00019823998
RND1,0.00019705761
SGIP1,0.00019581716
FTH1,0.00019525252
CCL5,0.00019479898
ARMCX3,0.00019440129
RP11-308D13.3,0.00019375754
MISP,0.00019355804
PCDHGA1,0.00019232563
POLD4,0.00019222246
CTD-2342N23.3,0.00019211628
DLEU7-AS1,0.00019177647
RP13-463N16.6,0.00019164449
AHR,0.00019106262
TMPRSS11F,0.00019055592
RP11-404F10.2,0.0001897723
IFFO1,0.00018977001
GPR183,0.00018957452
MBOAT1,0.00018857574
RP11-247I13.11,0.00018754201
CTD-2589M5.4,0.00018748971
LINC00886,0.00018711865
ITPK1-AS1,0.00018688198
SH3RF1,0.00018646248
DRC7,0.00018580975
RP11-572B2.1,0.00018494832
RP5-1021I20.5,0.0001848026
RP1-20C7.6,0.00018359478
LGALS3BP,0.00018338242
SPINK5,0.00018337514
CTC-336P14.1,0.00018336209
MMP28,0.00018303952
HLA-DPA1,0.00018277916
CYP3A4,0.00018263719
AC073321.4,0.00018207818
TFF1,0.00018144675
CLIC2,0.00018050852
CLEC4E,0.0001801139
RP11-430C7.5,0.00017960659
HOXC13,0.00017906973
TUBAL3,0.00017896236
CTA-212A2.4,0.00017884106
CST7,0.00017880152
TIMP4,0.00017745212
ABCA6,0.00017745211
BHLHE40-AS1,0.000176602
CYP27A1,0.00017624866
CACNG8,0.00017614091
RHOXF1-AS1,0.00017550455
SYT11,0.00017449542
DLL1,0.0001743765
RP11-166P13.3,0.00017303438
NEB,0.00017302138
PAGE5,0.00017293241
FMNL1,0.00017232202
DENND1C,0.00017206183
CDT1,0.00017185451
RP11-196G11.2,0.00017174127
RP11-600F24.7,0.00017161605
SLPI,0.00017065472
PRKCG,0.00016996895
LCK,0.00016957923
POPDC2,0.0001692635
AC005477.1,0.0001689105
HCLS1,0.00016823903
RP11-54H7.4,0.00016807138
TBC1D2,0.00016727058
RP11-715J22.3,0.00016614069
CTNNB1,0.00016575988
ANXA2R,0.00016574556
AP003068.23,0.00016567388
JCHAIN,0.00016562994
IL10RB-AS1,0.00016562187
GPR20,0.00016508572
RHOXF1,0.00016476076
RP11-204L24.2,0.00016441522
COL6A2,0.00016402372
AC092669.3,0.00016388253
LINC00202-1,0.00016385027
PARK2,0.00016345229
CCR9,0.00016324669
RP11-693J15.5,0.00016280358
SESN3,0.00016249961
