,Name,Term,ES,NES,NOM p-val,FDR q-val,FWER p-val,Tag %,Gene %,Lead_genes,factor,mapped_gene
8,prerank,Hypoxia,0.5210525282974153,1.2146948498024992,0.0975609756097561,0.738006268081003,0.96,20/78,8.08%,BNIP3L;LDHA;BTG1;UGP2;GALK1;SLC2A1;HSPA5;PIM1;GAPDH;GCNT2;JUN;PHKG1;ZFP36;CDKN1C;WSB1;IDS;FOSL2;KLHL24;INHA;ENO1,84,SET
9,prerank,Reactive Oxygen Species Pathway,0.7084042008999053,1.2128495195144229,0.26666666666666666,0.6659702132219008,0.96,7/15,7.40%,HHEX;PRDX2;SOD2;CDKN2D;PRDX4;JUNB;PRDX1,84,SET
10,prerank,Interferon Alpha Response,-0.577720663672129,-1.2105440749249876,0.14814814814814814,1.0,0.99,14/45,12.74%,PSME1;TXNIP;HLA-C;LY6E;PSMB9;GBP2;IRF1;LGALS3BP;HELZ2;IRF7;TRIM5;SAMD9L;CD74;IFIT3,84,SET
11,prerank,UV Response Up,0.562685908768778,1.1969665514726608,0.21428571428571427,0.6531822565091611,0.99,13/45,6.02%,KCNH2;CCND3;BTG1;SOD2;SQSTM1;ICAM1;JUNB;BTG2;EIF2S3;IGFBP2;CDKN1C;RHOB;COL2A1,84,SET
12,prerank,TNF-alpha Signaling via NF-kB,0.46619557156499836,1.1943826692348272,0.15789473684210525,0.5978784956605593,0.99,32/105,11.54%,IER2;GADD45A;BTG1;PHLDA2;SOD2;SQSTM1;GADD45B;ICAM1;NFE2L2;MYC;EIF1;JUNB;BTG2;B4GALT1;DUSP5;JUN;ID2;ZFP36;BCL3;RHOB;TSC22D1;FOSL2;TNFRSF9;AREG;NINJ1;SOCS3;ICOSLG;BCL6;SERPINE1;IFIT2;RELB;CCRL2,84,SET
13,prerank,Adipogenesis,0.6070037500021664,1.1895200461183921,0.1875,0.5592655094824815,0.99,8/34,5.94%,GADD45A;APOE;UCP2;REEP6;NABP1;UBC;STOM;TKT,84,SET
14,prerank,Glycolysis,0.5386181857469601,1.1431539592703757,0.2857142857142857,0.6381203174838662,0.99,9/40,6.24%,CENPA;LDHA;UGP2;GALK1;PKM;STMN1;HSPA5;B4GALT1;AURKA,84,SET
15,prerank,Unfolded Protein Response,0.6377102957399473,1.11174193173192,0.3877551020408163,0.6555310648849704,1.0,7/16,7.78%,NPM1;ATF4;HSPA5;CKS1B;NABP1;DNAJC3;WIPI1,84,SET
16,prerank,Interferon Gamma Response,-0.4864693312382142,-1.1069485887453492,0.32142857142857145,1.0,1.0,35/84,14.82%,PSME1;TXNIP;LY6E;PSMB9;VAMP8;NFKBIA;ARID5B;TNFSF10;ST3GAL5;HLA-B;LCP2;RNF213;IRF1;LGALS3BP;TAPBP;PSMB2;SERPING1;MVP;HELZ2;IRF7;APOL6;PTPN6;NLRC5;SAMD9L;FCGR1A;CD74;IFIT3;CCL2;CASP4;CD69;DHX58;MT2A;P2RY14;CFH;DDX58,84,SET
17,prerank,heme Metabolism,0.5032412289701779,1.106834943701966,0.28205128205128205,0.6247830279652845,1.0,14/55,4.80%,HBZ;BLVRB;BNIP3L;CCND3;KLF1;HBD;PRDX2;SLC2A1;UCP2;GYPA;GYPC;BTG2;NFE2;CLCN3,84,SET
18,prerank,Apical Surface,-0.6459640491134055,-1.1031188041744304,0.40350877192982454,1.0,1.0,4/14,9.92%,PLAUR;HSPB1;IL2RG;GHRL,84,SET
19,prerank,Coagulation,-0.4922547182871301,-1.05297612912924,0.38095238095238093,1.0,1.0,16/50,11.08%,LAMP2;LRP1;MSRB2;PLEK;APOC1;CPQ;ANXA1;CFD;GSN;PROS1;S100A13;SERPING1;F2RL2;CD9;S100A1;FN1,84,SET
20,prerank,Apical Junction,0.4637147542051299,1.0354496760234095,0.3333333333333333,0.7697685631629702,1.0,10/57,7.86%,KCNH2;CD99;CAP1;ACTB;ICAM1;B4GALT1;CLDN6;LIMA1;ICAM4;PTPRC,84,SET
21,prerank,IL-6/JAK/STAT3 Signaling,-0.5155220430927934,-1.0161135308030602,0.5,1.0,1.0,9/39,10.82%,CSF3R;IL10RB;TGFB1;IL2RG;IL17RA;IRF1;EBI3;CD9;ACVRL1,84,SET
22,prerank,Apoptosis,0.44586059544301565,1.0078293847929265,0.42857142857142855,0.7886720744228262,1.0,15/68,6.20%,CLU;GADD45A;BNIP3L;CTNNB1;SOD2;SQSTM1;GADD45B;TIMP1;HMGB2;BTG2;JUN;BCL2L1;RHOB;DNAJC3;IFITM3,84,SET
23,prerank,Inflammatory Response,-0.45843542330367393,-1.0032642764779036,0.4406779661016949,1.0,1.0,17/80,11.86%,CSF3R;LY6E;PLAUR;CD55;CD48;NFKBIA;TNFSF10;LCP2;IRF1;TAPBP;EBI3;IRF7;PTPRE;GPR183;CYBB;AHR;KLF6,84,SET
24,prerank,Allograft Rejection,0.4355974302303712,0.9994897860207537,0.4117647058823529,0.76976856316297,1.0,18/86,10.16%,NPM1;CCND3;NME1;ICAM1;CD7;TIMP1;LTB;CAPG;BCL3;PTPRC;SOCS1;CD96;CD47;PRF1;CFP;HLA-DMA;HLA-A;ICOSLG,84,SET
